Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
CCL220826C00003500,2022-08-08 9:42AM EDT, 3.50 , 6.56 , 7.45 , 7.70 , -   ,-, 1.00 , 1.00 ,334.38%
CCL220826C00004000,2022-08-09 3:54PM EDT, 4.00 , 5.40 , 6.95 , 7.20 , -   ,-, 2.00 , 1.00 ,296.88%
CCL220826C00004500,2022-08-08 9:30AM EDT, 4.50 , 5.55 , 6.45 , 6.70 , -   ,-, 1.00 , 1.00 ,265.63%
CCL220826C00005000,2022-07-20 1:14PM EDT, 5.00 , 5.75 , 5.95 , 6.20 , -   ,-, 2.00 , 1.00 ,237.50%
CCL220826C00005500,2022-08-16 11:44AM EDT, 5.50 , 5.15 , 5.45 , 5.70 , 0.05 ,0.98%, 5.00 , 16.00 ,212.50%
CCL220826C00006000,2022-08-16 11:38AM EDT, 6.00 , 4.60 , 4.95 , 5.20 , 1.25 ,37.31%, 21.00 , 12.00 ,189.06%
CCL220826C00006500,2022-08-09 3:59PM EDT, 6.50 , 3.05 , 4.45 , 4.70 , -   ,-, 1.00 , 3.00 ,167.19%
CCL220826C00007000,2022-08-15 11:44AM EDT, 7.00 , 3.75 , 3.95 , 4.20 , -   ,-, 1.00 , 24.00 ,146.88%
CCL220826C00007500,2022-08-12 3:30PM EDT, 7.50 , 2.97 , 3.45 , 3.70 , (0.23),-7.19%, 4.00 , 12.00 ,128.13%
CCL220826C00008000,2022-08-16 12:33PM EDT, 8.00 , 3.20 , 3.00 , 3.20 , 0.52 ,19.40%, 2.00 , 198.00 ,110.94%
CCL220826C00008500,2022-08-16 12:05PM EDT, 8.50 , 2.28 , 2.48 , 2.70 , 0.05 ,2.24%, 9.00 , 235.00 ,93.75%
CCL220826C00009000,2022-08-16 12:56PM EDT, 9.00 , 2.02 , 2.04 , 2.18 , 0.24 ,13.48%, 71.00 , 590.00 ,62.50%
CCL220826C00009500,2022-08-16 1:09PM EDT, 9.50 , 1.63 , 1.62 , 1.68 , 0.28 ,20.74%, 113.00 ," 1,125.00 ",50.00%
CCL220826C00010000,2022-08-16 1:17PM EDT, 10.00 , 1.22 , 1.21 , 1.25 , 0.28 ,29.79%, 195.00 ," 23,761.00 ",54.69%
CCL220826C00010500,2022-08-16 1:13PM EDT, 10.50 , 0.86 , 0.84 , 0.86 , 0.24 ,38.71%, 374.00 ," 1,433.00 ",58.20%
CCL220826C00011000,2022-08-16 1:15PM EDT, 11.00 , 0.54 , 0.54 , 0.57 , 0.15 ,38.46%," 8,009.00 "," 6,103.00 ",60.55%
CCL220826C00011500,2022-08-16 1:17PM EDT, 11.50 , 0.34 , 0.34 , 0.36 , 0.10 ,41.67%," 1,162.00 "," 1,114.00 ",63.48%
CCL220826C00012000,2022-08-16 1:17PM EDT, 12.00 , 0.21 , 0.20 , 0.21 , 0.08 ,61.54%," 3,224.00 "," 6,096.00 ",64.45%
CCL220826C00012500,2022-08-16 1:17PM EDT, 12.50 , 0.13 , 0.12 , 0.13 , 0.05 ,62.50%, 429.00 ," 1,542.00 ",67.58%
CCL220826C00013000,2022-08-16 1:15PM EDT, 13.00 , 0.09 , 0.08 , 0.09 , 0.03 ,50.00%, 398.00 , 379.00 ,72.66%
CCL220826C00013500,2022-08-16 1:10PM EDT, 13.50 , 0.06 , 0.06 , 0.07 , 0.02 ,50.00%, 20.00 , 179.00 ,79.30%
CCL220826C00014000,2022-08-16 12:33PM EDT, 14.00 , 0.06 , 0.04 , 0.05 , 0.03 ,100.00%, 19.00 , 230.00 ,82.81%
CCL220826C00014500,2022-08-16 12:24PM EDT, 14.50 , 0.05 , 0.04 , 0.05 , 0.02 ,66.67%, 13.00 , 178.00 ,92.97%
CCL220826C00015000,2022-08-16 12:53PM EDT, 15.00 , 0.04 , 0.03 , 0.04 , 0.01 ,33.33%, 26.00 , 262.00 ,96.88%
CCL220826C00015500,2022-08-12 3:12PM EDT, 15.50 , 0.02 , 0.03 , 0.04 , (0.01),-33.33%, 2.00 , 164.00 ,105.47%
CCL220826C00016000,2022-08-12 3:06PM EDT, 16.00 , 0.02 , 0.02 , 0.04 , -   ,-, 1.00 , 119.00 ,110.94%
CCL220826C00017000,2022-08-15 2:14PM EDT, 17.00 , 0.02 , 0.02 , 0.03 , -   ,-, 290.00 , 450.00 ,121.88%
CCL220826C00017500,2022-08-15 2:08PM EDT, 17.50 , 0.02 , 0.02 , 0.03 , -   ,-, 569.00 , 696.00 ,128.13%
CCL220826C00018000,2022-08-16 12:36PM EDT, 18.00 , 0.02 , 0.02 , 0.03 , -   ,-, 6.00 , 63.00 ,134.38%
CCL220826C00019000,2022-08-12 3:35PM EDT, 19.00 , 0.02 , 0.01 , 0.03 , -   ,-, - , 64.00 ,142.19%
"PutsforAugust 26, 2022",,,,,,,,,,
Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
CCL220826P00003000,2022-07-22 2:50PM EDT, 3.00 , 0.04 , -   , 0.03 , -   ,-, 1.00 , 1.00 ,337.50%
CCL220826P00003500,2022-07-20 12:02PM EDT, 3.50 , 0.03 , -   , 0.03 , -   ,-, 1.00 , 2.00 ,300.00%
