Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
CCL220902C00003000,2022-07-29 3:55PM EDT, 3.00 , 6.05 , 8.00 , 8.15 , -   ,-, 4.00 , 2.00 ,0.00%
CCL220902C00005500,2022-08-12 3:04PM EDT, 5.50 , 5.18 , 5.55 , 5.65 , -   ,-, - , 1.00 ,0.00%
CCL220902C00006000,2022-07-22 12:06PM EDT, 6.00 , 3.60 , 5.05 , 5.15 , -   ,-, 1.00 , 1.00 ,0.00%
CCL220902C00006500,2022-08-10 10:03AM EDT, 6.50 , 3.65 , 4.55 , 4.65 , -   ,-, 1.00 , 1.00 ,0.00%
CCL220902C00007000,2022-08-11 9:57AM EDT, 7.00 , 3.85 , 4.05 , 4.15 , -   ,-, 3.00 , 4.00 ,0.00%
CCL220902C00007500,2022-08-15 12:42PM EDT, 7.50 , 3.25 , 3.55 , 3.70 , -   ,-, 1.00 , 20.00 ,89.06%
CCL220902C00008000,2022-08-11 1:41PM EDT, 8.00 , 2.73 , 3.05 , 3.20 , -   ,-, 1.00 , 105.00 ,76.56%
CCL220902C00008500,2022-08-16 12:06PM EDT, 8.50 , 2.45 , 2.60 , 2.66 , 0.15 ,6.52%, 5.00 , 712.00 ,0.00%
CCL220902C00009000,2022-08-16 1:12PM EDT, 9.00 , 2.14 , 2.15 , 2.19 , 0.29 ,15.68%, 4.00 , 400.00 ,43.75%
CCL220902C00009500,2022-08-16 1:04PM EDT, 9.50 , 1.70 , 1.71 , 1.75 , 0.25 ,17.24%, 7.00 , 364.00 ,52.73%
CCL220902C00010000,2022-08-16 1:16PM EDT, 10.00 , 1.34 , 1.31 , 1.36 , 0.26 ,24.07%, 22.00 , 476.00 ,58.98%
CCL220902C00010500,2022-08-16 12:56PM EDT, 10.50 , 1.00 , 0.97 , 0.99 , 0.26 ,35.14%, 46.00 , 971.00 ,59.77%
CCL220902C00011000,2022-08-16 1:21PM EDT, 11.00 , 0.68 , 0.68 , 0.71 , 0.18 ,36.00%, 218.00 ," 1,105.00 ",60.94%
CCL220902C00011500,2022-08-16 1:20PM EDT, 11.50 , 0.48 , 0.46 , 0.49 , 0.14 ,41.18%, 506.00 , 443.00 ,61.72%
CCL220902C00012000,2022-08-16 1:14PM EDT, 12.00 , 0.32 , 0.30 , 0.33 , 0.11 ,52.38%, 211.00 ," 1,070.00 ",62.50%
CCL220902C00012500,2022-08-16 12:19PM EDT, 12.50 , 0.23 , 0.20 , 0.22 , 0.09 ,64.29%, 1.00 , 418.00 ,64.26%
CCL220902C00013000,2022-08-16 12:19PM EDT, 13.00 , 0.15 , 0.13 , 0.14 , 0.05 ,50.00%, 60.00 , 297.00 ,65.23%
CCL220902C00013500,2022-08-16 12:48PM EDT, 13.50 , 0.10 , 0.09 , 0.11 , 0.02 ,25.00%, 12.00 , 158.00 ,69.14%
CCL220902C00014000,2022-08-16 12:39PM EDT, 14.00 , 0.08 , 0.07 , 0.08 , 0.03 ,60.00%, 12.00 , 97.00 ,72.66%
CCL220902C00014500,2022-08-16 12:07PM EDT, 14.50 , 0.04 , 0.05 , 0.06 , -   ,-, 40.00 , 293.00 ,75.00%
CCL220902C00015000,2022-08-16 1:09PM EDT, 15.00 , 0.05 , 0.04 , 0.05 , -   ,-, 4.00 , 440.00 ,79.30%
