Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
CCL220826C00003500,2022-08-08 9:42AM EDT,3.5,6.56,7.45,7.7,0,-,1,1,334.38%
CCL220826C00004000,2022-08-09 3:54PM EDT,4,5.4,6.95,7.2,0,-,2,1,296.88%
CCL220826C00004500,2022-08-08 9:30AM EDT,4.5,5.55,6.45,6.7,0,-,1,1,265.63%
CCL220826C00005000,2022-07-20 1:14PM EDT,5,5.75,5.95,6.2,0,-,2,1,237.50%
CCL220826C00005500,2022-08-16 11:44AM EDT,5.5,5.15,5.45,5.7,0.05,0.98%,5,16,212.50%
CCL220826C00006000,2022-08-16 11:38AM EDT,6,4.6,4.95,5.2,1.25,37.31%,21,12,189.06%
CCL220826C00006500,2022-08-09 3:59PM EDT,6.5,3.05,4.45,4.7,0,-,1,3,167.19%
CCL220826C00007000,2022-08-15 11:44AM EDT,7,3.75,3.95,4.2,0,-,1,24,146.88%
CCL220826C00007500,2022-08-12 3:30PM EDT,7.5,2.97,3.45,3.7,-0.23,-7.19%,4,12,128.13%
CCL220826C00008000,2022-08-16 12:33PM EDT,8,3.2,3,3.2,0.52,19.40%,2,198,110.94%
CCL220826C00008500,2022-08-16 12:05PM EDT,8.5,2.28,2.48,2.7,0.05,2.24%,9,235,93.75%
CCL220826C00009000,2022-08-16 12:56PM EDT,9,2.02,2.04,2.18,0.24,13.48%,71,590,62.50%
CCL220826C00009500,2022-08-16 1:09PM EDT,9.5,1.63,1.62,1.68,0.28,20.74%,113,"1,125",50.00%
CCL220826C00010000,2022-08-16 1:17PM EDT,10,1.22,1.21,1.25,0.28,29.79%,195,"23,761",54.69%
CCL220826C00010500,2022-08-16 1:13PM EDT,10.5,0.86,0.84,0.86,0.24,38.71%,374,"1,433",58.20%
CCL220826C00011000,2022-08-16 1:15PM EDT,11,0.54,0.54,0.57,0.15,38.46%,"8,009","6,103",60.55%
CCL220826C00011500,2022-08-16 1:17PM EDT,11.5,0.34,0.34,0.36,0.1,41.67%,"1,162","1,114",63.48%
CCL220826C00012000,2022-08-16 1:17PM EDT,12,0.21,0.2,0.21,0.08,61.54%,"3,224","6,096",64.45%
CCL220826C00012500,2022-08-16 1:17PM EDT,12.5,0.13,0.12,0.13,0.05,62.50%,429,"1,542",67.58%
CCL220826C00013000,2022-08-16 1:15PM EDT,13,0.09,0.08,0.09,0.03,50.00%,398,379,72.66%
CCL220826C00013500,2022-08-16 1:10PM EDT,13.5,0.06,0.06,0.07,0.02,50.00%,20,179,79.30%
CCL220826C00014000,2022-08-16 12:33PM EDT,14,0.06,0.04,0.05,0.03,100.00%,19,230,82.81%
CCL220826C00014500,2022-08-16 12:24PM EDT,14.5,0.05,0.04,0.05,0.02,66.67%,13,178,92.97%
CCL220826C00015000,2022-08-16 12:53PM EDT,15,0.04,0.03,0.04,0.01,33.33%,26,262,96.88%
CCL220826C00015500,2022-08-12 3:12PM EDT,15.5,0.02,0.03,0.04,-0.01,-33.33%,2,164,105.47%
CCL220826C00016000,2022-08-12 3:06PM EDT,16,0.02,0.02,0.04,0,-,1,119,110.94%
