Last Trade Date,Contract Name,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
2022-08-08 9:42AM EDT,CCL220826C00003500,3.5,6.56,6.3,6.45,0,-,1,1,300.00%
2022-08-19 2:27PM EDT,CCL220826C00004000,4,5.85,5.8,5.95,0.45,8.33%,1,1,262.50%
2022-08-08 9:30AM EDT,CCL220826C00004500,4.5,5.55,5.3,5.45,0,-,1,1,231.25%
2022-08-19 11:44AM EDT,CCL220826C00005000,5,4.8,4.8,4.95,-0.95,-16.52%,20,2,200.00%
2022-08-18 9:40AM EDT,CCL220826C00005500,5.5,4.85,4.3,4.5,0,-,1,22,229.69%
2022-08-16 11:38AM EDT,CCL220826C00006000,6,4.6,3.8,3.95,0,-,21,33,150.00%
2022-08-16 3:41PM EDT,CCL220826C00006500,6.5,4.6,3.3,3.5,0,-,1,2,171.88%
2022-08-19 10:57AM EDT,CCL220826C00007000,7,2.83,2.8,2.97,-0.62,-17.97%,2,23,128.13%
2022-08-19 2:49PM EDT,CCL220826C00007500,7.5,2.41,2.32,2.42,-0.56,-18.86%,39,16,50.00%
2022-08-19 2:57PM EDT,CCL220826C00008000,8,1.9,1.86,1.94,-0.47,-19.83%,25,200,96.88%
2022-08-19 1:09PM EDT,CCL220826C00008500,8.5,1.38,1.38,1.48,-0.6,-30.30%,100,193,88.28%
2022-08-19 3:44PM EDT,CCL220826C00009000,9,0.95,0.91,0.98,-0.52,-35.37%,593,661,67.19%
2022-08-19 3:58PM EDT,CCL220826C00009500,9.5,0.57,0.56,0.59,-0.51,-47.22%,627,"1,803",67.19%
2022-08-19 3:59PM EDT,CCL220826C00010000,10,0.29,0.29,0.3,-0.38,-56.72%,"3,558","23,936",64.84%
2022-08-19 3:58PM EDT,CCL220826C00010500,10.5,0.14,0.13,0.14,-0.25,-64.10%,"4,426","3,153",65.23%
2022-08-19 3:59PM EDT,CCL220826C00011000,11,0.08,0.07,0.08,-0.12,-60.00%,"1,859","7,013",72.66%
2022-08-19 3:59PM EDT,CCL220826C00011500,11.5,0.05,0.04,0.05,-0.05,-50.00%,933,"3,156",79.69%
2022-08-19 3:53PM EDT,CCL220826C00012000,12,0.04,0.03,0.04,-0.02,-33.33%,518,"6,604",90.63%
2022-08-19 3:40PM EDT,CCL220826C00012500,12.5,0.03,0.02,0.04,-0.01,-25.00%,16,"1,512",101.56%
2022-08-19 2:57PM EDT,CCL220826C00013000,13,0.02,0.01,0.04,-0.01,-33.33%,24,703,110.94%
2022-08-18 1:57PM EDT,CCL220826C00013500,13.5,0.03,0,0.04,0,-,11,249,118.75%
2022-08-18 10:28AM EDT,CCL220826C00014000,14,0.02,0,0.02,0,-,3,248,115.63%
2022-08-17 9:33AM EDT,CCL220826C00014500,14.5,0.03,0,0.04,0,-,10,197,139.06%
2022-08-19 1:42PM EDT,CCL220826C00015000,15,0.01,0,0.03,0,-,87,295,143.75%
2022-08-19 11:05AM EDT,CCL220826C00015500,15.5,0.01,0,0.02,-0.01,-50.00%,66,166,143.75%
2022-08-16 1:52PM EDT,CCL220826C00016000,16,0.03,0,0.02,0,-,5,119,153.13%
2022-08-15 2:14PM EDT,CCL220826C00017000,17,0.02,0,0.03,0,-,290,450,178.13%
2022-08-15 2:08PM EDT,CCL220826C00017500,17.5,0.02,0,0.03,0,-,569,696,184.38%
2022-08-17 9:44AM EDT,CCL220826C00018000,18,0.02,0,0.03,0,-,9,98,193.75%
2022-08-17 11:04AM EDT,CCL220826C00018500,18.5,0.02,0,0.03,0,-,21,26,200.00%
2022-08-17 11:24AM EDT,CCL220826C00019000,19,0.02,0,0.03,0,-,16,81,206.25%
,,,,,,,,,,
Last Trade Date,Contract Name,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
