Last Trade Date,Contract Name,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
2022-07-29 3:55PM EDT,CCL220902C00003000,3,6.05,6.8,7,0,-,4,2,309.38%
2022-08-12 3:04PM EDT,CCL220902C00005500,5.5,5.18,4.3,4.45,0,-,-,1,125.00%
2022-07-22 12:06PM EDT,CCL220902C00006000,6,3.6,3.8,3.95,0,-,1,1,106.25%
2022-08-10 10:03AM EDT,CCL220902C00006500,6.5,3.65,3.25,3.5,0,-,1,1,93.75%
2022-08-11 9:57AM EDT,CCL220902C00007000,7,3.85,2.81,2.99,0,-,3,4,103.13%
2022-08-19 9:32AM EDT,CCL220902C00007500,7.5,2.53,2.34,2.49,-0.72,-22.15%,1,20,92.97%
2022-08-11 1:41PM EDT,CCL220902C00008000,8,2.04,1.88,1.99,-0.69,-25.27%,20,105,82.42%
2022-08-19 1:09PM EDT,CCL220902C00008500,8.5,1.42,1.43,1.54,-0.58,-29.00%,9,712,76.56%
2022-08-19 3:57PM EDT,CCL220902C00009000,9,1.06,1.03,1.13,-0.48,-31.17%,79,337,73.05%
2022-08-19 3:14PM EDT,CCL220902C00009500,9.5,0.72,0.69,0.75,-0.43,-37.39%,99,371,67.97%
2022-08-19 3:59PM EDT,CCL220902C00010000,10,0.45,0.44,0.48,-0.38,-45.78%,"1,335","1,346",67.38%
2022-08-19 3:58PM EDT,CCL220902C00010500,10.5,0.28,0.27,0.3,-0.26,-48.15%,"1,381",976,68.36%
2022-08-19 3:58PM EDT,CCL220902C00011000,11,0.17,0.16,0.17,-0.18,-51.43%,483,"1,206",68.36%
2022-08-19 3:23PM EDT,CCL220902C00011500,11.5,0.12,0.11,0.12,-0.08,-40.00%,46,802,73.83%
2022-08-19 3:03PM EDT,CCL220902C00012000,12,0.07,0.06,0.08,-0.07,-50.00%,697,"1,228",75.78%
2022-08-19 3:05PM EDT,CCL220902C00012500,12.5,0.05,0.05,0.06,-0.02,-28.57%,30,524,82.03%
2022-08-19 3:59PM EDT,CCL220902C00013000,13,0.04,0.04,0.05,-0.02,-33.33%,1,930,87.50%
2022-08-19 12:27PM EDT,CCL220902C00013500,13.5,0.04,0.03,0.05,-0.01,-20.00%,40,183,94.53%
2022-08-17 3:41PM EDT,CCL220902C00014000,14,0.05,0.03,0.04,0,-,33,136,100.00%
2022-08-17 1:41PM EDT,CCL220902C00014500,14.5,0.04,0.02,0.04,0,-,5,338,105.47%
2022-08-19 10:33AM EDT,CCL220902C00015000,15,0.02,0.02,0.03,-0.01,-33.33%,12,641,109.38%
2022-08-19 2:10PM EDT,CCL220902C00015500,15.5,0.02,0.02,0.03,-0.02,-50.00%,10,143,115.63%
2022-08-16 1:30PM EDT,CCL220902C00016000,16,0.04,0.02,0.03,0,-,11,20,123.44%
2022-08-19 11:46AM EDT,CCL220902C00016500,16.5,0.02,0.02,0.03,-0.02,-50.00%,32,24,129.69%
2022-08-17 11:23AM EDT,CCL220902C00017000,17,0.03,0.02,0.03,0,-,81,131,134.38%
2022-08-19 11:16AM EDT,CCL220902C00018000,18,0.02,0.01,0.02,0,-,288,297,137.50%
2022-08-17 10:26AM EDT,CCL220902C00019000,19,0.02,0.01,0.03,0,-,28,25,153.13%
,,,,,,,,,,
Last Trade Date,Contract Name,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
2022-08-05 11:29AM EDT,CCL220902P00003000,3,0.02,0,0.03,0,-,15,145,281.25%
2022-08-01 10:45AM EDT,CCL220902P00003500,3.5,0.01,0,0.03,0,-,-,"1,020",243.75%
2022-08-02 1:34PM EDT,CCL220902P00004000,4,0.05,0,0.03,0,-,1,39,215.63%
2022-08-04 3:45PM EDT,CCL220902P00004500,4.5,0.02,0,0.03,0,-,30,86,187.50%
2022-08-09 12:42PM EDT,CCL220902P00005000,5,0.02,0,0.03,0,-,"1,695","1,765",165.63%
2022-08-09 10:22AM EDT,CCL220902P00005500,5.5,0.03,0,0.03,0,-,1,227,143.75%
2022-08-12 9:48AM EDT,CCL220902P00006000,6,0.01,0,0.03,0,-,1,357,125.00%
2022-08-19 10:55AM EDT,CCL220902P00006500,6.5,0.01,0,0.03,0,-,51,172,107.81%
2022-08-19 3:39PM EDT,CCL220902P00007000,7,0.02,0.02,0.03,0,-,34,452,99.22%
2022-08-19 3:59PM EDT,CCL220902P00007500,7.5,0.03,0.03,0.04,0.01,50.00%,4,640,88.28%
2022-08-19 3:21PM EDT,CCL220902P00008000,8,0.06,0.05,0.07,0.01,20.00%,323,339,80.47%
2022-08-19 3:14PM EDT,CCL220902P00008500,8.5,0.1,0.1,0.12,0.03,42.86%,165,839,75.39%
2022-08-19 3:59PM EDT,CCL220902P00009000,9,0.19,0.18,0.21,0.07,58.33%,161,"1,681",70.31%
2022-08-19 3:58PM EDT,CCL220902P00009500,9.5,0.35,0.33,0.37,0.14,66.67%,327,"1,948",67.97%
2022-08-19 3:41PM EDT,CCL220902P00010000,10,0.59,0.56,0.62,0.23,63.89%,634,473,67.38%
