Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
CCL220902C00003000,2022-07-29 3:55PM EDT,3,6.05,8,8.15,0,-,4,2,0.00%
CCL220902C00005500,2022-08-12 3:04PM EDT,5.5,5.18,5.55,5.65,0,-,-,1,0.00%
CCL220902C00006000,2022-07-22 12:06PM EDT,6,3.6,5.05,5.15,0,-,1,1,0.00%
CCL220902C00006500,2022-08-10 10:03AM EDT,6.5,3.65,4.55,4.65,0,-,1,1,0.00%
CCL220902C00007000,2022-08-11 9:57AM EDT,7,3.85,4.05,4.15,0,-,3,4,0.00%
CCL220902C00007500,2022-08-15 12:42PM EDT,7.5,3.25,3.55,3.7,0,-,1,20,89.06%
CCL220902C00008000,2022-08-11 1:41PM EDT,8,2.73,3.05,3.2,0,-,1,105,76.56%
CCL220902C00008500,2022-08-16 12:06PM EDT,8.5,2.45,2.6,2.66,0.15,6.52%,5,712,0.00%
CCL220902C00009000,2022-08-16 1:12PM EDT,9,2.14,2.15,2.19,0.29,15.68%,4,400,43.75%
CCL220902C00009500,2022-08-16 1:04PM EDT,9.5,1.7,1.71,1.75,0.25,17.24%,7,364,52.73%
CCL220902C00010000,2022-08-16 1:16PM EDT,10,1.34,1.31,1.36,0.26,24.07%,22,476,58.98%
CCL220902C00010500,2022-08-16 12:56PM EDT,10.5,1,0.97,0.99,0.26,35.14%,46,971,59.77%
CCL220902C00011000,2022-08-16 1:21PM EDT,11,0.68,0.68,0.71,0.18,36.00%,218,"1,105",60.94%
CCL220902C00011500,2022-08-16 1:20PM EDT,11.5,0.48,0.46,0.49,0.14,41.18%,506,443,61.72%
CCL220902C00012000,2022-08-16 1:14PM EDT,12,0.32,0.3,0.33,0.11,52.38%,211,"1,070",62.50%
CCL220902C00012500,2022-08-16 12:19PM EDT,12.5,0.23,0.2,0.22,0.09,64.29%,1,418,64.26%
CCL220902C00013000,2022-08-16 12:19PM EDT,13,0.15,0.13,0.14,0.05,50.00%,60,297,65.23%
CCL220902C00013500,2022-08-16 12:48PM EDT,13.5,0.1,0.09,0.11,0.02,25.00%,12,158,69.14%
CCL220902C00014000,2022-08-16 12:39PM EDT,14,0.08,0.07,0.08,0.03,60.00%,12,97,72.66%
CCL220902C00014500,2022-08-16 12:07PM EDT,14.5,0.04,0.05,0.06,0,-,40,293,75.00%
CCL220902C00015000,2022-08-16 1:09PM EDT,15,0.05,0.04,0.05,0,-,4,440,79.30%
CCL220902C00015500,2022-08-12 9:31AM EDT,15.5,0.04,0.04,0.05,0,-,30,130,85.94%
CCL220902C00016000,2022-08-16 1:13PM EDT,16,0.04,0.03,0.04,0.01,33.33%,1,10,88.28%
CCL220902C00018000,2022-08-15 10:59AM EDT,18,0.02,0.02,0.03,0,-,65,94,104.69%
"PutsforSeptember 2, 2022",,,,,,,,,,
Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
CCL220902P00003000,2022-08-05 11:29AM EDT,3,0.02,0,0.03,0,-,15,145,265.63%
CCL220902P00003500,2022-08-01 10:45AM EDT,3.5,0.01,0,0.03,0,-,-,"1,020",237.50%
CCL220902P00004000,2022-08-02 1:34PM EDT,4,0.05,0,0.03,0,-,1,39,209.38%
CCL220902P00004500,2022-08-04 3:45PM EDT,4.5,0.02,0,0.03,0,-,30,86,187.50%
CCL220902P00005000,2022-08-09 12:42PM EDT,5,0.02,0,0.03,0,-,"1,695","1,765",168.75%
CCL220902P00005500,2022-08-09 10:22AM EDT,5.5,0.03,0,0.03,0,-,1,227,150.00%
CCL220902P00006000,2022-08-12 9:48AM EDT,6,0.01,0,0.03,0,-,1,357,132.81%
CCL220902P00006500,2022-08-15 9:30AM EDT,6.5,0.01,0,0.03,0,-,2,136,117.19%
CCL220902P00007000,2022-08-16 9:58AM EDT,7,0.03,0.01,0.03,0.01,50.00%,1,368,107.81%
CCL220902P00007500,2022-08-16 11:16AM EDT,7.5,0.04,0.02,0.03,0,-,1,642,96.88%
CCL220902P00008000,2022-08-16 11:28AM EDT,8,0.05,0.04,0.05,-0.01,-16.67%,2,353,93.75%
CCL220902P00008500,2022-08-16 12:57PM EDT,8.5,0.06,0.05,0.06,-0.02,-25.00%,3,780,83.59%
CCL220902P00009000,2022-08-16 1:20PM EDT,9,0.09,0.08,0.09,-0.04,-30.77%,87,706,77.34%
CCL220902P00009500,2022-08-16 12:48PM EDT,9.5,0.15,0.14,0.15,-0.07,-31.82%,57,776,74.61%
CCL220902P00010000,2022-08-16 1:06PM EDT,10,0.26,0.23,0.25,-0.08,-23.53%,158,287,71.88%
CCL220902P00010500,2022-08-16 1:04PM EDT,10.5,0.41,0.38,0.4,-0.15,-26.79%,37,217,70.70%
CCL220902P00011000,2022-08-16 1:19PM EDT,11,0.6,0.6,0.62,-0.2,-25.00%,70,189,71.09%
CCL220902P00011500,2022-08-16 12:53PM EDT,11.5,0.9,0.88,0.91,-0.3,-25.00%,19,159,72.46%
CCL220902P00012000,2022-08-15 10:18AM EDT,12,1.62,1.21,1.25,0,-,1,17,73.44%
CCL220902P00012500,2022-08-16 10:57AM EDT,12.5,2.08,1.58,1.66,0.15,7.77%,15,2,75.98%
CCL220902P00013000,2022-08-16 11:51AM EDT,13,2.4,2.02,2.08,0,-,8,25,79.69%
CCL220902P00013500,2022-08-10 11:54AM EDT,13.5,3,2.48,2.54,0,-,10,7,85.16%
CCL220902P00014000,2022-08-10 11:27AM EDT,14,3.55,2.95,3.05,0,-,-,1,93.75%
CCL220902P00014500,2022-07-28 3:44PM EDT,14.5,5.45,3.4,3.5,0,-,1,2,93.75%
CCL220902P00015000,2022-07-25 11:07AM EDT,15,6,3.9,4.05,0,-,-,1,107.03%
CCL220902P00015500,2022-08-03 10:39AM EDT,15.5,5.9,4.4,4.5,0,-,1,1,110.16%
CCL220902P00017000,2022-08-12 10:10AM EDT,17,6.3,5.9,6,0,-,-,1,131.25%
CCL220902P00018000,2022-07-25 10:35AM EDT,18,8.96,6.9,7,0,-,-,0,143.75%
